"order_id","sales","profit","quantity","category","sub_category","Cost","Total_Cost","Total_profit"
AZ-2011-1029887,85,15,2,Furniture,Furnishings,70,70,30
AZ-2011-1029887,26,7,2,Office Supplies,Labels,19,19,14
AZ-2011-107716,294,109,7,Technology,Accessories,185,185,763
AZ-2011-1087704,76,11,3,Furniture,Furnishings,65,65,33
AZ-2011-1087704,252,15,5,Office Supplies,Binders,237,237,75
AZ-2011-1087704,90,17,3,Office Supplies,Supplies,73,73,51
AZ-2011-1114253,1334,200,8,Technology,Phones,1134,1134,1600
AZ-2011-1116129,32,6,3,Office Supplies,Labels,26,26,18
AZ-2011-1137571,88,3,2,Furniture,Furnishings,85,85,6
AZ-2011-1137571,284,43,5,Office Supplies,Art,241,241,215
AZ-2011-1174243,541,156,4,Furniture,Bookcases,385,385,624
AZ-2011-122598,576,51,5,Office Supplies,Storage,525,525,255
AZ-2011-1229073,307,99,5,Furniture,Chairs,208,208,495
AZ-2011-1229073,44,14,3,Office Supplies,Binders,30,30,42
AZ-2011-1229073,96,21,4,Office Supplies,Supplies,75,75,84
AZ-2011-1240916,152,44,2,Office Supplies,Appliances,108,108,88
AZ-2011-1240916,957,316,12,Technology,Phones,641,641,3792
AZ-2011-1253407,87,-78,3,Furniture,Chairs,165,165,-234
AZ-2011-1260928,33,10,3,Office Supplies,Binders,23,23,30
AZ-2011-1278696,28,10,2,Office Supplies,Fasteners,18,18,20
AZ-2011-1279238,25,-11,4,Office Supplies,Art,36,36,-44
AZ-2011-1279238,82,-74,3,Office Supplies,Storage,156,156,-222
AZ-2011-130330,38,11,2,Furniture,Furnishings,27,27,22
AZ-2011-1315772,13,3,2,Office Supplies,Binders,10,10,6
AZ-2011-1315772,748,283,4,Office Supplies,Storage,465,465,1132
AZ-2011-1315772,800,168,3,Technology,Machines,632,632,504
AZ-2011-1315772,1908,820,3,Technology,Phones,1088,1088,2460
AZ-2011-1322840,630,132,5,Furniture,Bookcases,498,498,660
AZ-2011-1328316,46,8,3,Office Supplies,Art,38,38,24
AZ-2011-1328316,636,140,1,Technology,Phones,496,496,140
AZ-2011-1331897,266,58,10,Office Supplies,Art,44,208,580
AZ-2011-1331897,10,2,2,Office Supplies,Binders,8,8,4
AZ-2011-1331897,54,8,5,Office Supplies,Labels,46,46,40
AZ-2011-1331897,255,-98,3,Office Supplies,Storage,353,353,-294
AZ-2011-1331897,666,66,9,Technology,Accessories,600,600,594
AZ-2011-1332474,56,-1,2,Office Supplies,Storage,57,57,-2
AZ-2011-1332474,442,0,3,Technology,Copiers,442,442,0
AZ-2011-1335871,241,24,2,Office Supplies,Storage,217,217,48
AZ-2011-1362199,164,-70,5,Furniture,Chairs,234,234,-350
AZ-2011-1362199,30,-10,3,Office Supplies,Art,40,40,-30
AZ-2011-1362199,20,-17,3,Office Supplies,Binders,37,37,-51
AZ-2011-1362591,176,65,4,Office Supplies,Supplies,111,111,260
AZ-2011-1366554,510,132,11,Office Supplies,Art,378,378,1452
AZ-2011-1366554,94,16,5,Office Supplies,Envelopes,78,78,80
AZ-2011-1372644,15,1,2,Office Supplies,Labels,14,14,2
AZ-2011-1406494,39,8,3,Office Supplies,Labels,31,31,24
AZ-2011-1406494,364,142,2,Technology,Phones,222,222,284
AZ-2011-1410648,18,3,2,Office Supplies,Binders,15,15,6
AZ-2011-144325,156,34,3,Furniture,Furnishings,122,122,102
AZ-2011-1445249,1667,185,6,Office Supplies,Appliances,1482,1482,1110
AZ-2011-1445249,98,12,2,Office Supplies,Binders,86,86,24
AZ-2011-1445262,23,8,1,Furniture,Furnishings,15,15,8
AZ-2011-145488,396,84,3,Furniture,Bookcases,312,312,252
AZ-2011-145488,130,44,5,Office Supplies,Art,86,86,220
AZ-2011-145488,8,2,1,Office Supplies,Labels,6,6,2
AZ-2011-145488,895,179,5,Office Supplies,Storage,716,716,895
AZ-2011-1474073,71,5,11,Office Supplies,Binders,23,66,55
AZ-2011-1475254,48,21,2,Office Supplies,Storage,27,27,42
AZ-2011-1484679,273,14,5,Office Supplies,Storage,259,259,70
AZ-2011-1499597,141,24,2,Office Supplies,Appliances,117,117,48
AZ-2011-1499597,69,26,5,Office Supplies,Binders,43,43,130
AZ-2011-1499597,176,39,4,Office Supplies,Supplies,137,137,156
AZ-2011-1499597,370,0,5,Technology,Phones,370,370,0
AZ-2011-1536006,66,2,5,Office Supplies,Binders,64,64,10
AZ-2011-1546153,169,32,7,Office Supplies,Art,137,137,224
AZ-2011-1546153,625,6,2,Technology,Machines,619,619,12
AZ-2011-1584049,147,-15,2,Furniture,Chairs,162,162,-30
AZ-2011-1584049,336,114,2,Technology,Copiers,222,222,228
AZ-2011-1584049,59,8,1,Technology,Phones,51,51,8
AZ-2011-1584987,178,28,4,Office Supplies,Storage,150,150,112
AZ-2011-1589827,465,19,6,Office Supplies,Appliances,446,446,114
AZ-2011-1589827,48,8,2,Office Supplies,Paper,13,40,16
AZ-2011-1603295,623,69,5,Furniture,Chairs,554,554,345
AZ-2011-1645475,622,19,2,Office Supplies,Appliances,603,603,38
AZ-2011-1655349,58,26,2,Office Supplies,Binders,32,32,52
AZ-2011-1655349,140,8,6,Office Supplies,Envelopes,132,132,48
AZ-2011-1661180,136,41,3,Office Supplies,Paper,95,95,123
AZ-2011-1672552,162,73,2,Technology,Machines,89,89,146
AZ-2011-1680940,270,75,3,Furniture,Chairs,195,195,225
AZ-2011-1693949,1207,36,4,Technology,Machines,1171,1171,144
AZ-2011-1722024,34,14,2,Office Supplies,Art,20,20,28
AZ-2011-1723003,103,36,2,Office Supplies,Binders,67,67,72
